"question","answer"
"What are your business hours?","We are open from 9 AM to 5 PM, Monday to Friday."
"How can I reset my password?","You can reset your password by clicking on 'Forgot Password' on the login page."
"What is your return policy?","Our return policy allows returns within 30 days of purchase."
"How do I contact customer support?","You can contact customer support via email at support@example.com or call us at 1-800-555-0199."
"Where can I find product information?","Product information can be found on the product page on our website."
"Do you offer international shipping?","Yes, we offer international shipping to select countries."
"How can I track my order?","You can track your order using the tracking link provided in your confirmation email."
"What payment methods do you accept?","We accept Visa, MasterCard, American Express, and PayPal."
"Can I change my order after it has been placed?","Yes, you can change your order by contacting customer support before it ships."
"How do I unsubscribe from the newsletter?","To unsubscribe, click the 'unsubscribe' link at the bottom of our emails."
